stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Roba\C_C++\botArena\x64\Debug\allegro5.cfg r
display  D   display_settings.c:490  _al_score_display_settings       [   0.05706] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05713] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05720] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05725] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05731] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.05737] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05746] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05753] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05760] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05766] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05775] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05782] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05791] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05800] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05807] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05814] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05823] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05831] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05838] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05845] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05853] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05859] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05865] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.05872] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05880] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05886] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05892] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05897] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05903] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05917] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05925] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05931] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05938] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05945] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05952] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05958] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05964] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05970] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05977] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05983] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05988] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.05995] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06002] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06008] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06015] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06023] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06032] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06039] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06048] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06054] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.06062] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06069] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.06075] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06081] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06086] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06092] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06099] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06105] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06112] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.06119] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06126] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06133] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06138] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.06143] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.06150] Multisample Samples requirement not met
